MOOD,MOOD_NOTE,support_message
marah,Aku merasa hanya karena pertengkaran kita jadi marah satu sama lain dan kamu ingin mempublikasikannya dan membiarkan dunia tahu tentang pertengkaran kita.,"Kamu berhak marah dan merasa direndahkan ketika perlakuan yang kamu terima memang nggak sepantasnya. Setelah emosimu reda nanti, aku yakin kamu bisa ngambil keputusan dengan jauh lebih bijak dan elegan."
bahagia,Menurutku warna merah dan ungu itu sangat kaya dan terasa sempurna.,"Seru banget! Momen manis kayak gini emang paling pas buat disyukuri dan dirayain bareng-bareng. Nikmatin perasaan damai dan seneng ini sepuasnya, semoga kebahagiaan ini menetap lama di hatimu."
sedih,"Aku tidak yakin perasaan kehilangan ini akan pernah hilang, tetapi mungkin akan mereda menjadi perasaan nostalgia yang manis tentang apa yang telah kubagikan dalam hidup ini bersama ayahku dan keberuntungan yang kudapatkan memiliki seorang ayah selama bertahun-tahun.","Aku tahu beban yang lagi kamu pikul ini berat banget, dan kamu udah berusaha sebaik mungkin. Meskipun sekarang rasanya gelap banget, pelan-pelan pasti bakal ada titik terangnya kok, semangat ya!"
bahagia,"Saya merasa telah mengenal banyak dari Anda melalui komentar dan email, dan untuk itu saya menghargai dan senang Anda menjadi bagian dari ruang kecil ini.","Seru banget! Momen manis kayak gini emang paling pas buat disyukuri dan dirayain bareng-bareng. Jadikan momen bahagia ini energi tambahan buat ngejar mimpi-mimpimu yang lebih besar lagi, selamat ya!"
bahagia,Saya meninjau kembali unggahan saya sendiri selama beberapa tahun terakhir dan hanya merasa puas dengan cuplikan-cuplikan samar dari beberapa di antaranya. Saya hanya merasa bahwa sedikit bagian dari unggahan tersebut mampu menggambarkan bagaimana rasanya menjadi saya atau seseorang seperti saya di Dublin pada abad ke-21.,"Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Semoga hari-harimu ke depan makin banyak kejutan seru dan keberuntungan kayak gini ya, terus semangat!"
sedih,"Saya juga menyampaikan hal ini dengan harapan bahwa siapa pun yang masih merasa distigmatisasi atau malu dengan masalah kesehatan mental mereka akan melepaskan stigma tersebut, melepaskan rasa malu itu.","Aku tahu beban yang lagi kamu pikul ini berat banget, dan kamu udah berusaha sebaik mungkin. Kamu nggak sendirian ngelewatin ini, aku ada di sini buat nemenin kamu pelan-pelan bangkit lagi ya."
sedih,Aku tidak merasa bersalah karena tidak bisa memasak untuknya.,"Dengar ceritamu, aku bisa ngerasain betapa melelahkannya situasi yang lagi kamu hadapin sekarang. Jangan ragu buat cerita kapan pun kamu butuh teman, karena kamu selalu punya tempat buat bersandar."
cemas,Aku benci saat aku merasa takut tanpa alasan sama sekali.,"Nggak apa-apa merasa gugup, itu tanda kalau kamu peduli sama hal yang lagi kamu hadapi ini. Kamu jauh lebih kuat dari rasa takutmu, dan aku yakin banget kamu bisa ngelewatin ini semua."
marah,"Saya merasa sangat marah, ini terlihat di mana-mana.","Kamu berhak marah dan merasa direndahkan ketika perlakuan yang kamu terima memang nggak sepantasnya. Setelah emosimu reda nanti, aku yakin kamu bisa ngambil keputusan dengan jauh lebih bijak dan elegan."
sedih,Aku mencuri buku dari salah satu penulis favoritku sepanjang masa dan sekarang aku merasa seperti orang jahat.,"Aku tahu beban yang lagi kamu pikul ini berat banget, dan kamu udah berusaha sebaik mungkin. Kasih waktu buat dirimu pulih, besok kita coba langkah kecil lagi karena aku yakin kamu pasti bisa."
cemas,"Aku memang terkadang merasa tidak percaya diri, tapi siapa yang tidak?","Pasti rasanya nggak enak banget ya ngerasa panik dan deg-degan kayak gini. Kapan pun kamu butuh bantuan buat nenangin pikiran, aku siap dengerin ceritamu sampai kamu merasa baikan."
marah,Saya sangat menyarankan untuk berkunjung pada hari Rabu jika memungkinkan karena lebih sepi sehingga Anda dapat mengajukan lebih banyak pertanyaan kepada para petani tanpa merasa tidak sopan karena menghambat antrean.,"Kamu berhak marah dan merasa direndahkan ketika perlakuan yang kamu terima memang nggak sepantasnya. Aku ada di sini buat jadi tempat sampah kekesalanmu, yuk lepaskan semuanya biar hatimu lebih lega."
cemas,Aku merindukannya dan merasa sangat gelisah di rumah memikirkan dia.,"Tarik napas pelan-pelan ya, wajar banget kalau kamu merasa kewalahan dengan semua ketidakpastian ini. Kamu jauh lebih kuat dari rasa takutmu, dan aku yakin banget kamu bisa ngelewatin ini semua."
marah,Saya memposting di halaman Facebook saya awal pekan ini bahwa saya merasa sedikit murung dan kurang enak badan beberapa hari terakhir.,"Kamu berhak marah dan merasa direndahkan ketika perlakuan yang kamu terima memang nggak sepantasnya. Ambil waktu buat nenangin diri dulu, aku bakal selalu dukung kamu buat nemuin solusi yang terbaik."
sedih,aku mulai merasa emosional,"Aku ngerti banget ini masa yang berat buat kamu, dan gapapa kok kalau hari ini kamu ngerasa capek. Meskipun sekarang rasanya gelap banget, pelan-pelan pasti bakal ada titik terangnya kok, semangat ya!"
marah,Aku merasa sangat kedinginan a href http irish,"Rasa kecewa dan emosimu itu manusiawi banget, apalagi kalau usahamu nggak dihargai. Aku ada di sini buat jadi tempat sampah kekesalanmu, yuk lepaskan semuanya biar hatimu lebih lega."
sedih,Aku merasa seperti aku cacat atau semacamnya karena belum merasakan keinginan untuk punya bayi.,"Nggak apa-apa kalau kamu butuh waktu buat nangis atau istirahat sebentar dari semuanya. Kamu nggak sendirian ngelewatin ini, aku ada di sini buat nemenin kamu pelan-pelan bangkit lagi ya."
bahagia,Saya merasa lebih berbudi luhur daripada saat saya makan sayuran yang dicelupkan ke dalam hummus.,"Pencapaianmu ini luar biasa, kamu emang pantas banget buat ngerayain momen seru ini. Jangan lupa kasih *reward* buat dirimu sendiri ya, kamu pantes dapetin semua kebahagiaan ini."
bahagia,"Saya merasa sangat terhormat dapat diikutsertakan dalam majalah yang sangat memprioritaskan kesehatan dan gaya hidup bersih. Saya penasaran, apakah ada di antara kalian yang membaca majalah yang membahas kesehatan dan gaya hidup bersih seperti The Green Parent?","Seru banget! Momen manis kayak gini emang paling pas buat disyukuri dan dirayain bareng-bareng. Jadikan momen bahagia ini energi tambahan buat ngejar mimpi-mimpimu yang lebih besar lagi, selamat ya!"
sedih,Aku menghabiskan dua minggu terakhir sekolah dengan perasaan sedih.,"Dengar ceritamu, aku bisa ngerasain betapa melelahkannya situasi yang lagi kamu hadapin sekarang. Kasih waktu buat dirimu pulih, besok kita coba langkah kecil lagi karena aku yakin kamu pasti bisa."
bahagia,Aku merasa sangat tenang lagi tentang pernikahan kita sekarang setelah sebelumnya...,"Pencapaianmu ini luar biasa, kamu emang pantas banget buat ngerayain momen seru ini. Jangan lupa kasih *reward* buat dirimu sendiri ya, kamu pantes dapetin semua kebahagiaan ini."
bahagia,"Saya sudah lama mengobrol dengan pelatih Claudia Barcomb dan pelatih Ali Boe, dan mereka berdua membuat saya merasa sangat diterima di Union.","Pencapaianmu ini luar biasa, kamu emang pantas banget buat ngerayain momen seru ini. Nikmatin perasaan damai dan seneng ini sepuasnya, semoga kebahagiaan ini menetap lama di hatimu."
marah,"Saya merasa jika saya benar-benar membenci sesuatu, saya akan menggunakan hak demokrasi saya untuk menyuarakan pendapat saya dengan cara apa pun yang memungkinkan dan mencoba untuk mewujudkan perubahan.","Denger ceritamu, siapapun pasti bakal ikutan gondok dan ngerasa muak sama situasi kayak gini. Jangan biarin mereka merusak harimu terlalu lama, kamu jauh lebih berharga dari situasi yang nyebelin ini."
sedih,"Jika saya merasa terhina, malu, atau bodoh, saya akan ingat bahwa orang lain juga pernah merasakan hal yang sama karena hal-hal serupa, dan saya akan bersikap baik, membantu, dan menerima.","Aku tahu beban yang lagi kamu pikul ini berat banget, dan kamu udah berusaha sebaik mungkin. Kasih waktu buat dirimu pulih, besok kita coba langkah kecil lagi karena aku yakin kamu pasti bisa."
bahagia,Saya merasa yakin bahwa saya mengatur pola makan saya dengan benar dan semuanya baik-baik saja.,"Seru banget! Momen manis kayak gini emang paling pas buat disyukuri dan dirayain bareng-bareng. Semoga hari-harimu ke depan makin banyak kejutan seru dan keberuntungan kayak gini ya, terus semangat!"
sedih,Saya merasa harus setuju dengannya meskipun saya bisa membayangkan beberapa kemungkinan kasus yang cukup tidak menyenangkan.,"Aku ngerti banget ini masa yang berat buat kamu, dan gapapa kok kalau hari ini kamu ngerasa capek. Jangan ragu buat cerita kapan pun kamu butuh teman, karena kamu selalu punya tempat buat bersandar."
bahagia,"Aku sedang dalam suasana hati yang sangat bahagia hari ini, aku merasa hampir gembira dan aku tidak melakukan sesuatu yang berbeda dari biasanya, sungguh luar biasa.","Wah, ikut seneng banget dengar kabar baik dari kamu hari ini, senyummu nular banget! Jangan lupa kasih *reward* buat dirimu sendiri ya, kamu pantes dapetin semua kebahagiaan ini."
marah,Aku merasa sangat tidak nyaman dan kesal,"Rasa kecewa dan emosimu itu manusiawi banget, apalagi kalau usahamu nggak dihargai. Keluarin aja semua unek-unekmu sampai lega, habis itu kita pakai energimu buat hal yang lebih positif ya."
bahagia,Saya juga tahu bahwa saya tidak merasakan apa pun selain kasih sayang persahabatan kepada mereka.,"Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Nikmatin perasaan damai dan seneng ini sepuasnya, semoga kebahagiaan ini menetap lama di hatimu."
bahagia,"Saya merasa akhir pekan saya cukup produktif, dan saya tidak selalu bisa mengatakan itu, tidak peduli seberapa banyak yang telah saya selesaikan.","Alhamdulillah! Denger cerita bahagiamu bikin aku ikut ngerasain energi positif yang luar biasa. Semoga hari-harimu ke depan makin banyak kejutan seru dan keberuntungan kayak gini ya, terus semangat!"
cemas,Aku merasa tidak percaya diri saat ini.,"Aku ngerti kamu lagi takut dan overthinking, wajar kok kalau sesekali kita merasa kewalahan. Semuanya bakal baik-baik aja kok, kamu udah pernah ngelewatin masa sulit sebelumnya dan kali ini pun pasti bisa."
cemas,"Aku merasa cukup cemas sepanjang hari, tetapi hari pertamaku bekerja berjalan sangat baik dan itu sangat membantu.","Tarik napas pelan-pelan ya, wajar banget kalau kamu merasa kewalahan dengan semua ketidakpastian ini. Semuanya bakal baik-baik aja kok, kamu udah pernah ngelewatin masa sulit sebelumnya dan kali ini pun pasti bisa."
sedih,"Aku sudah melawanmu, akhirnya aku berani melawanmu dan sekarang aku merasa seperti sedang dihukum. Seandainya aku bisa kembali dan melakukannya lagi...","Aku tahu beban yang lagi kamu pikul ini berat banget, dan kamu udah berusaha sebaik mungkin. Meskipun sekarang rasanya gelap banget, pelan-pelan pasti bakal ada titik terangnya kok, semangat ya!"
cemas,Aku merasa sedikit gugup saat pergi ke gym.,"Aku ngerti kamu lagi takut dan overthinking, wajar kok kalau sesekali kita merasa kewalahan. Semuanya bakal baik-baik aja kok, kamu udah pernah ngelewatin masa sulit sebelumnya dan kali ini pun pasti bisa."
bahagia,"Saya merasa bisa memasuki situasi apa pun dan menjadi sukses karena saya telah berkompetisi sepanjang hidup saya, jelas Schaub dalam sebuah wawancara dengan bleacherreport.","Pencapaianmu ini luar biasa, kamu emang pantas banget buat ngerayain momen seru ini. Jangan lupa kasih *reward* buat dirimu sendiri ya, kamu pantes dapetin semua kebahagiaan ini."
sedih,"Aku tak bisa menghentikan kecemasan yang kurasakan saat sendirian, saat tak ada yang mengalihkan perhatianku.","Nggak apa-apa kalau kamu butuh waktu buat nangis atau istirahat sebentar dari semuanya. Kasih waktu buat dirimu pulih, besok kita coba langkah kecil lagi karena aku yakin kamu pasti bisa."
bahagia,Saya sedang mencoba menemukan gaya rumah yang cocok sekarang karena saya tinggal sendiri dan memiliki kebebasan berkreasi sepenuhnya.,"Wah, ikut seneng banget dengar kabar baik dari kamu hari ini, senyummu nular banget! Jangan lupa kasih *reward* buat dirimu sendiri ya, kamu pantes dapetin semua kebahagiaan ini."
sedih,"Aku sudah mencoba membayangkan bagaimana rasanya jika aku menyukai salah satu teman perempuanku, tapi itu tidak pernah berhasil dan aku hanya bisa merasakan ikatan emosional dengan mereka karena mereka adalah temanku.","Wajar banget kalau kamu merasa hancur atau kecewa, perasaan sedihmu itu valid kok. Kasih waktu buat dirimu pulih, besok kita coba langkah kecil lagi karena aku yakin kamu pasti bisa."
sedih,"Sebenarnya saya berniat untuk berkebun lebih lama pagi ini selagi udaranya masih sejuk, tetapi saya merasa sangat tidak enak badan.","Wajar banget kalau kamu merasa hancur atau kecewa, perasaan sedihmu itu valid kok. Meskipun sekarang rasanya gelap banget, pelan-pelan pasti bakal ada titik terangnya kok, semangat ya!"
bahagia,"Aku punya firasat baik tentang ini, jadi aku merasa gembira.","Alhamdulillah! Denger cerita bahagiamu bikin aku ikut ngerasain energi positif yang luar biasa. Jangan lupa kasih *reward* buat dirimu sendiri ya, kamu pantes dapetin semua kebahagiaan ini."
sedih,Aku merasa baru mulai memahami berkat-berkat yang datang dari ketundukan kepada kehendak Bapa.,"Nggak apa-apa kalau kamu butuh waktu buat nangis atau istirahat sebentar dari semuanya. Peluk jauh dari sini, semoga hari esok bisa ngasih sedikit rasa lega buat hatimu yang lagi capek."
marah,"Aku memikirkan hal-hal yang telah kukatakan dan hal-hal yang telah kulakukan, itu membuatku merasa jijik pada diriku sendiri, padahal seharusnya aku membuatmu bahagia dan tersenyum, yang mana jauh dari itu yang kulakukan.","Aku paham banget kenapa kamu merasa sekesal ini, wajar kalau kamu marah karena situasinya memang nggak adil. Setelah emosimu reda nanti, aku yakin kamu bisa ngambil keputusan dengan jauh lebih bijak dan elegan."
sedih,Saya bangun kemarin pagi hari Senin dengan perasaan sedikit depresi.,"Aku tahu beban yang lagi kamu pikul ini berat banget, dan kamu udah berusaha sebaik mungkin. Kasih waktu buat dirimu pulih, besok kita coba langkah kecil lagi karena aku yakin kamu pasti bisa."
sedih,Aku merasa sangat malu,"Wajar banget kalau kamu merasa hancur atau kecewa, perasaan sedihmu itu valid kok. Kamu nggak sendirian ngelewatin ini, aku ada di sini buat nemenin kamu pelan-pelan bangkit lagi ya."
bahagia,"Aku menghabiskan waktu berkeliling masih agak linglung dan tidak merasa ingin bersosialisasi, tetapi karena aku telah bersembunyi selama beberapa hari dan itu mulai agak tidak sehat, aku memaksakan diri untuk pergi ke tempat salib dan bergaul dengan orang-orang.","Alhamdulillah! Denger cerita bahagiamu bikin aku ikut ngerasain energi positif yang luar biasa. Jadikan momen bahagia ini energi tambahan buat ngejar mimpi-mimpimu yang lebih besar lagi, selamat ya!"
bahagia,"Jujur saja, setelah setiap obrolan dengan para saudari, saya merasa bersemangat dan diberkati.","Wah, ikut seneng banget dengar kabar baik dari kamu hari ini, senyummu nular banget! Semoga hari-harimu ke depan makin banyak kejutan seru dan keberuntungan kayak gini ya, terus semangat!"
sedih,"Aku masih merasa bodoh berada di kelas itu, semua ini gara-gara kesalahan PBSS.","Aku ngerti banget ini masa yang berat buat kamu, dan gapapa kok kalau hari ini kamu ngerasa capek. Peluk jauh dari sini, semoga hari esok bisa ngasih sedikit rasa lega buat hatimu yang lagi capek."
cemas,"Saya merasa sedikit terkejut, tetapi tidak bisa membayangkan apa yang dirasakan oleh orang-orang yang bekerja di studio hingga pagi ini.","Pasti rasanya nggak enak banget ya ngerasa panik dan deg-degan kayak gini. Kamu jauh lebih kuat dari rasa takutmu, dan aku yakin banget kamu bisa ngelewatin ini semua."
sedih,"Aku akui, saat ini aku merasa sedikit tidak dicintai.","Dengar ceritamu, aku bisa ngerasain betapa melelahkannya situasi yang lagi kamu hadapin sekarang. Peluk jauh dari sini, semoga hari esok bisa ngasih sedikit rasa lega buat hatimu yang lagi capek."
marah,Aku merasa sedikit stres meskipun semua hal yang sedang kulakukan menyenangkan.,"Rasa kecewa dan emosimu itu manusiawi banget, apalagi kalau usahamu nggak dihargai. Aku ada di sini buat jadi tempat sampah kekesalanmu, yuk lepaskan semuanya biar hatimu lebih lega."
cemas,Aku merasa sangat cemas.,"Aku ngerti kamu lagi takut dan overthinking, wajar kok kalau sesekali kita merasa kewalahan. Kapan pun kamu butuh bantuan buat nenangin pikiran, aku siap dengerin ceritamu sampai kamu merasa baikan."
cemas,Saya merasa terkejut dan sedih karena ada begitu banyak orang sakit.,"Pasti rasanya nggak enak banget ya ngerasa panik dan deg-degan kayak gini. Kamu jauh lebih kuat dari rasa takutmu, dan aku yakin banget kamu bisa ngelewatin ini semua."
bahagia,Saya rasa mereka selalu mendukung gagasan itu dan ada kemungkinan kecil bahwa perasaannya terhadap seorang gadis New England yang sangat menawan telah membuatnya menerima cara berpikir mereka.,"Seru banget! Momen manis kayak gini emang paling pas buat disyukuri dan dirayain bareng-bareng. Jadikan momen bahagia ini energi tambahan buat ngejar mimpi-mimpimu yang lebih besar lagi, selamat ya!"
bahagia,Aku merasa seperti siswi nakal karena aku tertinggal dalam pelajaran.,"Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Jangan lupa kasih *reward* buat dirimu sendiri ya, kamu pantes dapetin semua kebahagiaan ini."
cemas,"Saya kidal, tetapi saya bermain biliar dengan tangan kiri secara alami, jadi mencoba bermain dengan tangan kanan terasa aneh.","Aku ngerti kamu lagi takut dan overthinking, wajar kok kalau sesekali kita merasa kewalahan. Semuanya bakal baik-baik aja kok, kamu udah pernah ngelewatin masa sulit sebelumnya dan kali ini pun pasti bisa."
bahagia,"Saya bisa merasakan bahwa mereka baik, ramah, dan bisa memahami perasaan saya.","Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Nikmatin perasaan damai dan seneng ini sepuasnya, semoga kebahagiaan ini menetap lama di hatimu."
bahagia,"Seandainya aku pergi ke luar negeri atau menyeberangi perbatasan, maka aku akan menjadi orang asing dan akan merasa seperti itu, tetapi tidak akan pernah di tanah kelahiranku tercinta.","Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Nikmatin perasaan damai dan seneng ini sepuasnya, semoga kebahagiaan ini menetap lama di hatimu."
marah,Saya merasa jijik pada setiap orang yang berkuasa yang berbicara tentang masalah listrik di daerahnya dan mengatakan bahwa bahkan rumah saya sendiri memiliki masalah serupa.,"Wajar kok kalau kamu meledak, menahan rasa jengkel yang kelewat batas emang nggak baik buat kamu. Aku ada di sini buat jadi tempat sampah kekesalanmu, yuk lepaskan semuanya biar hatimu lebih lega."
bahagia,Aku merasa transenden dan luar biasa,"Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Aku bakal selalu ada buat ikut bersorak di setiap keberhasilanmu, terus tebar energi positif ini ya!"
sedih,"Akhirnya aku sampai di rumah beberapa jam kemudian dengan perasaan agak lelah, dehidrasi, dan bahkan terbakar sinar matahari.","Aku tahu beban yang lagi kamu pikul ini berat banget, dan kamu udah berusaha sebaik mungkin. Meskipun sekarang rasanya gelap banget, pelan-pelan pasti bakal ada titik terangnya kok, semangat ya!"
bahagia,Saya merasa sangat rileks dan nyaman.,"Alhamdulillah! Denger cerita bahagiamu bikin aku ikut ngerasain energi positif yang luar biasa. Nikmatin perasaan damai dan seneng ini sepuasnya, semoga kebahagiaan ini menetap lama di hatimu."
bahagia,Aku ingin setiap dari kalian merasakan pelukan lembutku.,"Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Semoga hari-harimu ke depan makin banyak kejutan seru dan keberuntungan kayak gini ya, terus semangat!"
bahagia,Saya merasa beruntung berada di dunia ini.,"Pencapaianmu ini luar biasa, kamu emang pantas banget buat ngerayain momen seru ini. Jangan lupa kasih *reward* buat dirimu sendiri ya, kamu pantes dapetin semua kebahagiaan ini."
marah,"Aku bukan tipe orang yang mudah bergaul, tapi entah kenapa orang-orang merasa berhak mengganggu dan membosankan aku dengan omong kosong mereka yang tidak penting.","Wajar kok kalau kamu meledak, menahan rasa jengkel yang kelewat batas emang nggak baik buat kamu. Setelah emosimu reda nanti, aku yakin kamu bisa ngambil keputusan dengan jauh lebih bijak dan elegan."
sedih,Aku menyadari kesalahanku dan aku benar-benar merasa sangat buruk dan berpikir bahwa aku seharusnya tidak melakukan itu.,"Wajar banget kalau kamu merasa hancur atau kecewa, perasaan sedihmu itu valid kok. Peluk jauh dari sini, semoga hari esok bisa ngasih sedikit rasa lega buat hatimu yang lagi capek."
bahagia,Kurasa terkadang aku terlalu mudah percaya.,"Wah, ikut seneng banget dengar kabar baik dari kamu hari ini, senyummu nular banget! Jadikan momen bahagia ini energi tambahan buat ngejar mimpi-mimpimu yang lebih besar lagi, selamat ya!"
sedih,"Aku pulang ke rumah sambil menunggu giliran mandi, lalu membaca sesuatu yang membuatku kesal, makanya aku merasa tidak puas haha.","Aku tahu beban yang lagi kamu pikul ini berat banget, dan kamu udah berusaha sebaik mungkin. Meskipun sekarang rasanya gelap banget, pelan-pelan pasti bakal ada titik terangnya kok, semangat ya!"
sedih,"Aku bangun dengan perasaan lelah dan tidak enak badan, dan seharian aku melawan perasaan ini. Mungkin ini karena serbuk sari, tekanan barometrik, aku tidak tahu. Yang aku tahu, aku sedang tidak sehat.","Aku tahu beban yang lagi kamu pikul ini berat banget, dan kamu udah berusaha sebaik mungkin. Kamu nggak sendirian ngelewatin ini, aku ada di sini buat nemenin kamu pelan-pelan bangkit lagi ya."
bahagia,"Aku merasa seperti berada di surga, mencium bibir manis itu membuatku merasa seperti menyelami dunia cinta yang ajaib.","Pencapaianmu ini luar biasa, kamu emang pantas banget buat ngerayain momen seru ini. Aku bakal selalu ada buat ikut bersorak di setiap keberhasilanmu, terus tebar energi positif ini ya!"
bahagia,Aku merasa sangat bahagia,"Seru banget! Momen manis kayak gini emang paling pas buat disyukuri dan dirayain bareng-bareng. Jangan lupa kasih *reward* buat dirimu sendiri ya, kamu pantes dapetin semua kebahagiaan ini."
bahagia,"Saya berlari dengan kecepatan sekitar satu menit per mil, yang menurut saya cukup dapat diterima.","Wah, ikut seneng banget dengar kabar baik dari kamu hari ini, senyummu nular banget! Jadikan momen bahagia ini energi tambahan buat ngejar mimpi-mimpimu yang lebih besar lagi, selamat ya!"
sedih,Aku merasa sangat kecewa ketika mantan pacarku tidak menghubungiku kembali.,"Aku ngerti banget ini masa yang berat buat kamu, dan gapapa kok kalau hari ini kamu ngerasa capek. Kamu nggak sendirian ngelewatin ini, aku ada di sini buat nemenin kamu pelan-pelan bangkit lagi ya."
